stockcode,description,revenue,quantity,orders,customers,average_price,revenue_share
22726,ALARM CLOCK BAKELIKE GREEN,32609.32,7671,1273,404,4.2509868335288745,0.159251369005935
22385,JUMBO BAG SPACEBOY DESIGN,32433.5,17057,1248,412,1.901477399308202,0.1583927317912178
82486,WOOD S/3 CABINET ANT WHITE FINISH,31594.39,3994,1072,320,7.910463194792188,0.15429484148726264
22139,RETROSPOT TEA SET CERAMIC 11 PC,31527.12,6168,1321,652,5.1114007782101165,0.15396632069648783
22077,6 RIBBONS RUSTIC CHARM,31513.11,17238,1751,685,1.8281186912634877,0.15389790124831249
85152,HAND OVER THE CHOCOLATE   SIGN,31483.7,16373,1460,486,1.9229035607402432,0.15375427412691087
22865,HAND WARMER OWL DESIGN,31416.04,14537,1212,566,2.161108894544954,0.15342384872622966
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,472,4.904420803782506,0.1519710220568733
21479,WHITE SKULL HOT WATER BOTTLE,31079.8,6219,930,410,4.997555877150667,0.15178178197002146
23199,JUMBO BAG APPLES,30450.690000000002,14908,978,344,2.0425737858867725,0.14870945084642478
22501,PICNIC BASKET WICKER LARGE,30339.36,2612,762,346,11.615375191424196,0.14816575797238046
20725,LUNCH BAG RED SPOTTY,30063.27,18085,1219,499,1.6623317666574509,0.14681744066711777
20679,EDWARDIAN PARASOL RED,30020.97,6149,715,271,4.8822523987640265,0.1466108637465027
22697,GREEN REGENCY TEACUP AND SAUCER,29952.550000000003,9621,1340,475,3.1132470637147907,0.14627672679831163
84946,ANTIQUE SILVER TEA GLASS ETCHED,29828.78,22032,1080,413,1.3538843500363107,0.14567228175186894
22659,LUNCH BOX I LOVE LONDON,29561.86,15941,1074,293,1.8544545511573929,0.14436874719748188
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,6830,1009,386,4.324139092240117,0.14423205480958556
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,10706,883,357,2.752523818419578,0.1439129105598883
22622,BOX OF VINTAGE ALPHABET BLOCKS,29450.11,2945,571,346,10.000037351443124,0.14382300320507688
47590B,PINK HAPPY BIRTHDAY BUNTING,29363.86,5738,872,428,5.117438131753224,0.14340179139885822
22158,3 HEARTS HANGING DECORATION RUSTIC,29198.280000000002,8985,718,374,3.249669449081803,0.1425931624032213
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.370000000003,4878,1123,361,5.945750307503076,0.14164129697539435
21928,JUMBO BAG SCANDINAVIAN PAISLEY,28962.829999999998,15857,880,333,1.8265012297408083,0.1414433152174337
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782,474,4.937895460797799,0.14025156661370575
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260,1148,490,1.2839609164420485,0.13957845793833049
84978,HANGING HEART JAR T-LIGHT HOLDER,28475.96,21689,1425,525,1.3129217575729633,0.1390656295119998
22866,HAND WARMER SCOTTY DOG DESIGN,28266.870000000003,12778,1083,530,2.2121513538894977,0.13804451442142293
22752,SET 7 BABUSHKA NESTING BOXES,28139.45,3459,692,323,8.135140213934664,0.13742224417970256
22188,BLACK HEART CARD HOLDER,28112.030000000002,10353,566,292,2.7153511059596256,0.13728833545243863
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,56061,1993,767,0.5009138260109524,0.13714036191355833
22467,GUMBALL COAT RACK,28059.480000000003,11868,1095,398,2.3642972699696667,0.1370317014765918
82583,HOT BATHS METAL SIGN,27981.99,12877,1176,323,2.1730208899588415,0.13665327013903952
23201,JUMBO BAG ALPHABET,27850.83,13366,906,396,2.0837071674397727,0.1360127351766785
21212,PACK OF 72 RETROSPOT CAKE CASES,27770.72,48156,1708,772,0.5766824487083645,0.13562150876744747
20719,WOODLAND CHARLOTTE BAG,27598.42,24479,1573,365,1.1274324931574002,0.13478006187803906
21930,JUMBO STORAGE BAG SKULLS,27368.08,13390,1321,386,2.0439193427931293,0.1336551699656402
22624,IVORY KITCHEN SCALES,27282.73,3152,1219,579,8.65568845177665,0.13323835341305165
72741,GRAND CHOCOLATECANDLE,27239.46,19712,920,510,1.381871956168831,0.13302703938574637
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302,1011,451,5.108042248208223,0.13226216758180476
22492,MINI PAINT SET VINTAGE,27056.19,42286,714,356,0.6398380078512983,0.13213201923820214
84991,60 TEATIME FAIRY CAKE CASES,27041.21,54028,2127,822,0.5005036277485748,0.13205886268333655
22961,JAM MAKING SET PRINTED,26888.43,17252,1200,558,1.558568861581266,0.13131274396155004
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,9772,756,444,2.738820098239869,0.13070385482532582
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,802,358,1.847814392339107,0.12815905180964493
22149,FELTCRAFT 6 FLOWER FRIENDS,26218.97,12674,1382,684,2.0687210036294776,0.12804335896687022
22867,HAND WARMER BIRD DESIGN,26117.63,11872,1054,521,2.199935141509434,0.1275484534081201
22551,PLASTERS IN TIN SPACEBOY,25912.87,15441,1299,616,1.678185998316171,0.12654848437111918
47566B,TEA TIME PARTY BUNTING,25803.49,5801,761,350,4.44811067057404,0.12601431454660675
20711,JUMBO BAG TOYS,25719.13,12643,1052,326,2.034258482954995,0.12560233277301133
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8174,1050,439,3.1335270369464157,0.1250862323245338
22507,MEMO BOARD RETROSPOT  DESIGN,25603.46,5455,900,445,4.6935765352887255,0.1250374450092396
22090,PAPER BUNTING RETROSPOT,25497.960000000003,8406,920,374,3.0333047822983588,0.12452222361148811
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,522,256,10.315752535496959,0.12418217748897212
21485,RETROSPOT HEART HOT WATER BOTTLE,25408.010000000002,5168,930,502,4.91641060371517,0.12408294242923458
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962,613,325,1.9601350100293164,0.12407932855402759
22087,PAPER BUNTING WHITE LACE,25389.100000000002,8475,847,314,2.99576401179941,0.12399059326685087
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,40439,1259,524,0.6232876678453968,0.12309215458870541
22084,PAPER CHAIN KIT EMPIRE,25163.56,8803,811,464,2.858520958764058,0.12288914270714589
85099B,JUMBO BAG RED WHITE SPOTTY,25043.62,14060,534,321,1.7811963015647225,0.12230340190670687
20724,RED RETROSPOT CHARLOTTE BAG,24958.77,20663,1255,390,1.2078967236122538,0.12188902716169063
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,783,367,3.006987457790642,0.1217677669976511
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,248,8.994624005784527,0.12150009605157754
20972,PINK CREAM FELT CRAFT TRINKET BOX,24785.31,20496,1397,568,1.209275468384075,0.12104191527871455
48138,DOOR MAT UNION FLAG,24770.81,3775,673,389,6.561803973509934,0.12097110285911837
21314,SMALL GLASS HEART TRINKET POT,24641.390000000003,11426,1066,369,2.156606861543848,0.1203390653871089
23203,JUMBO BAG VINTAGE DOILY,24489.08,11448,711,363,2.139157931516422,0.11959524196444034
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.960000000003,5972,835,394,4.095773610180844,0.11945303109143066
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.61,106139,1019,482,0.23031694287679363,0.11938295121410614
71459,HANGING JAM JAR T-LIGHT HOLDER,24440.74,30176,925,421,0.8099396871686109,0.11935916800835211
84836,ZINC METAL HEART DECORATION,24289.33,19847,1408,662,1.2238287902453773,0.11861973983931368
22728,ALARM CLOCK BAKELIKE PINK,24257.31,6215,969,357,3.9030265486725666,0.11846336648238473
47590A,BLUE HAPPY BIRTHDAY BUNTING,24174.010000000002,4752,689,355,5.0871233164983165,0.11805656134084255
21231,SWEETHEART CERAMIC TRINKET BOX,24128.86,19428,1482,500,1.2419631459748817,0.11783606611706547
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,1410,632,0.5147755093305941,0.11747257864185556
22698,PINK REGENCY TEACUP AND SAUCER,23990.620000000003,8049,1024,400,2.9805714995651638,0.11716095515948097
22383,LUNCH BAG SUKI  DESIGN,23893.29,14347,1279,463,1.6653857949397086,0.11668563289746053
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716,391,2.311333981526495,0.11609364106963647
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,23709.46,3141,661,269,7.548379496975485,0.11578787792543531
21790,VINTAGE SNAP CARDS,23506.17,27244,1888,793,0.8628017178094258,0.11479508780269689
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,470,275,4.893629166666666,0.11471328724902545
22605,WOODEN CROQUET GARDEN SET,23426.82,1827,642,377,12.82256157635468,0.11440757294097574
82600,NO SINGING METAL SIGN,23096.77,11450,1152,375,2.017185152838428,0.11279573576251237
84406B,CREAM CUPID HEARTS COAT HANGER,23080.13,7131,841,318,3.236590940961997,0.11271447240650684
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,23040.04,7964,1147,442,2.8930236062280263,0.11251868827536127
22625,RED KITCHEN SCALES,22911.55,2627,950,440,8.721564522268748,0.11189119256543621
22607,WOODEN ROUNDERS GARDEN SET,22906.54,2533,744,419,9.043245163837348,0.11186672565356197
21791,VINTAGE HEADS AND TAILS CARD GAME,22858.600000000002,17604,1313,641,1.2984889797773234,0.11163260514353156
22554,PLASTERS IN TIN WOODLAND ANIMALS,22853.72,13588,1275,587,1.6819046217250515,0.11160877310162609
22556,PLASTERS IN TIN CIRCUS PARADE,22334.08,13585,1196,591,1.6440250276039752,0.10907105132790483
37449,CERAMIC CAKE STAND + HANGING CAKES,22333.3,2382,477,205,9.375860621326616,0.10906724210809206
20749,ASSORTED COLOUR MINI CASES,22097.61,3062,766,426,7.216724363161332,0.10791622285466977
22113,GREY HEART HOT WATER BOTTLE,22025.93,5759,996,488,3.8246101753776696,0.10756616532110744
22585,PACK OF 6 BIRDY GIFT TAGS,21977.3,17557,1084,612,1.2517685253744946,0.10732867511662728
22499,WOODEN UNION JACK BUNTING,21826.52,3584,774,452,6.089988839285715,0.1065923236251299
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879,377,1.993458550406727,0.10651374625745387
84970S,HANGING HEART ZINC T-LIGHT HOLDER,21794.26,26444,1425,616,0.8241665406141279,0.10643477820056627
22941,CHRISTMAS LIGHTS 10 REINDEER,21727.58,2615,483,315,8.308826003824093,0.10610913874272675
22456,NATURAL SLATE CHALKBOARD LARGE,21583.2,4416,835,385,4.8875,0.10540404238815458
22969,HOMEMADE JAM SCENTED CANDLES,21501.989999999998,14461,709,472,1.4868950971578727,0.10500744400226453
21524,DOORMAT SPOTTY HOME SWEET HOME,21414.04,2817,744,355,7.601718139865105,0.10457793005030014
21213,PACK OF 72 SKULL CAKE CASES,21390.76,40263,1481,528,0.5312758612125276,0.10446423948973467
21258,VICTORIAN SEWING BOX LARGE,21386.559999999998,1505,526,186,14.210338870431892,0.1044437283061275
48184,DOORMAT ENGLISH ROSE,21326.3,3234,526,268,6.594403215831787,0.10414944165751606
22139,RETRO SPOT TEA SET CERAMIC 11 PC,21301.04,4438,771,465,4.7996935556557005,0.1040260815389644
22502,PICNIC BASKET WICKER SMALL,21260.8,3705,922,335,5.738407557354925,0.10382956486554715
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21201.13,2685,517,309,7.896137802607076,0.103538159549871
22083,PAPER CHAIN KIT RETRO SPOT,21151.79,7579,591,324,2.7908417997097246,0.10329720197863822
22570,FELTCRAFT CUSHION RABBIT,20901.1,5631,807,351,3.7117918664535603,0.10207292849804744
22424,ENAMEL BREAD BIN CREAM,20886.89,1529,739,310,13.660490516677566,0.10200353232684319
23206,LUNCH BAG APPLE DESIGN,20852.58,12147,1036,401,1.7166856013830576,0.10183597549123322
21218,RED SPOTTY BISCUIT TIN,20800.31,5256,897,313,3.9574410197869105,0.10158070892762686
22294,HEART FILIGREE DOVE  SMALL,20629.38,16671,861,414,1.2374410653230161,0.10074595259096653
22617,BAKING SET SPACEBOY DESIGN,20546.99,4251,942,600,4.833448600329334,0.10034359153920588
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20469.08,17875,350,197,1.1451233566433567,0.09996310908329291
AMAZONFEE,AMAZON FEE,20467.8,3,3,0,6822.599999999999,0.09995685805590784
20723,STRAWBERRY CHARLOTTE BAG,20401.05,18296,1379,356,1.1150552033231307,0.0996308767450082
22568,FELTCRAFT CUSHION OWL,20244.97,5479,875,389,3.695011863478737,0.09886864209324465
85150,LADIES & GENTLEMEN METAL SIGN,20237.72,8361,1110,369,2.420490371965076,0.09883323588344656
48188,DOORMAT WELCOME PUPPIES,20209.4,3414,428,220,5.919566490919743,0.09869493190255252
22273,FELTCRAFT DOLL MOLLY,20150.99,7355,810,423,2.739767505098573,0.09840967994195852
22569,FELTCRAFT CUSHION BUTTERFLY,20104.43,5521,784,360,3.6414472015939143,0.09818229882082762
21622,VINTAGE UNION JACK CUSHION COVER,19936.94,3699,626,329,5.389818869964855,0.09736434212026458
22900,SET 2 TEA TOWELS I LOVE LONDON,19834.04,6156,723,252,3.22190383365822,0.09686181812188895
22413,METAL SIGN TAKE IT OR LEAVE IT,19728.24,6976,881,446,2.8280160550458717,0.09634513163959407
21174,POTTERING IN THE SHED METAL SIGN,19593.81,9696,1135,402,2.0208137376237625,0.09568862725571033
21936,RED RETROSPOT PICNIC BAG,19576.72,6680,935,359,2.9306467065868267,0.09560516627288973
22561,WOODEN SCHOOL COLOURING SET,19524.27,11642,904,556,1.6770546297886961,0.09534902065855735
22558,CLOTHES PEGS RETROSPOT PACK 24,19513.17,13809,1202,541,1.4130762546165543,0.09529481253045267
22169,FAMILY ALBUM WHITE PICTURE FRAME,19507.6,2275,701,276,8.57476923076923,0.09526761079409746
22384,LUNCH BAG PINK POLKADOT,19500.66,11751,1281,508,1.659489405157008,0.0952337185049942
84946,ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,689,348,1.3217144026186578,0.09465237295818528
22427,ENAMEL FLOWER JUG CREAM,19273.280000000002,3210,798,460,6.004137071651091,0.09412328209342322
22083,PAPER CHAIN KIT RETROSPOT,19261.030000000002,6137,810,376,3.1385090435065996,0.09406345780790232
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19194.13,1758,419,249,10.91816268486917,0.09373674395473097
21908,CHOCOLATE THIS WAY METAL SIGN,19125.980000000003,9678,974,382,1.9762326927051046,0.09340392558262896
22061,LARGE CAKE STAND  HANGING STRAWBERY,19121.37,2171,520,219,8.807632427452786,0.09338141211681249
84949,SILVER HANGING T-LIGHT HOLDER,19015.8,11945,693,330,1.5919464210966932,0.09286584886600087
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,18744.170000000002,15810,680,312,1.1855895003162558,0.09153931248428294
22383,LUNCH BAG SUKI DESIGN,18699.43,10301,1084,399,1.8153023978254539,0.09132081954271515
22041,"RECORD FRAME 7"" SINGLE SIZE",18650.87,7540,555,101,2.473590185676392,0.09108367119129511
71053,WHITE METAL LANTERN,18525.22,4700,701,290,3.9415361702127663,0.09047004494838064
22555,PLASTERS IN TIN STRONGMAN,18323.32,11321,956,514,1.6185248652945852,0.08948404305069316
21484,CHICK GREY HOT WATER BOTTLE,18171.14,4584,864,367,3.9640357766143106,0.0887408544979934
79323W,WHITE CHERRY LIGHTS,18048.72,3004,349,174,6.008229027962717,0.08814300233199589
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18044.97,4621,814,323,3.904992425881844,0.08812468877520377
22505,MEMO BOARD COTTAGE DESIGN,18034.63,3773,744,397,4.779917837264776,0.08807419219460898
22147,FELTCRAFT BUTTERFLY HEARTS,17893.579999999998,12828,1132,582,1.3948846273776114,0.0873853582784682
22560,TRADITIONAL MODELLING CLAY,17861.71,14836,742,420,1.2039437853868966,0.08722971746381095
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,17746.71,21605,653,344,0.821416801666281,0.08666810172218609
21914,BLUE HARMONICA IN BOX,17725.36,12957,963,446,1.3680142008180907,0.08656383653884965
22297,HEART IVORY TRELLIS SMALL,17702.62,13715,969,391,1.2907488151658768,0.08645278313046226
22847,BREAD BIN DINER STYLE IVORY,17669.989999999998,1112,472,259,15.890278776978416,0.08629343076829513
22633,HAND WARMER UNION JACK,17576.670000000002,8541,858,473,2.057917105725325,0.08583769180300443
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,83,40,21.418700980392156,0.08535416506754114
21136,PAINTED METAL PEARS ASSORTED,17451.45,10496,739,449,1.6626762576219514,0.08522616551460212
22557,PLASTERS IN TIN VINTAGE PAISLEY,17401.3,10369,1126,580,1.6782042627061433,0.08498125221510222
23203,JUMBO BAG DOILEY PATTERNS,17268.69,8893,514,299,1.94182952884291,0.08433363601078159
84992,72 SWEETHEART FAIRY CAKE CASES,17259.85,34797,1460,614,0.4960154611029686,0.08429046485290363
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,8411,662,232,2.0496599690880988,0.08419201117158923
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17177.04,17400,1080,463,0.9871862068965518,0.08388605268278229
21889,WOODEN BOX OF DOMINOES,17095.66,12805,1123,595,1.335076923076923,0.08348862408231766
21527,RED RETROSPOT TRADITIONAL TEAPOT,17030.56,2337,570,280,7.287359863072315,0.08317070073640656
22654,DELUXE SEWING KIT,16971.27,2534,597,300,6.697423046566693,0.08288115119448536
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,16891.44,6779,1038,353,2.4917303437085114,0.0824912921974948
22652,TRAVEL SEWING KIT,16794.05,9910,830,440,1.694656912209889,0.0820156769185657
22952,60 CAKE CASES VINTAGE CHRISTMAS,16770.31,27970,1039,520,0.5995820521987845,0.08189973989503377
21164,HOME SWEET HOME METAL SIGN,16626.41,5981,721,356,2.7798712589867915,0.081196987675731
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073,431,1.302749624476243,0.08047455448739563
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16409.02,1699,494,301,9.658045909358446,0.08013533857945422
22487,WHITE WOOD GARDEN PLANT LADDER,16373.699999999999,1632,898,611,10.032904411764704,0.07996284929254821
21843,RETRO SPOT CAKE STAND,16354.009999999998,1493,340,207,10.953791024782316,0.07986669091035174
23301,GARDENERS KNEELING PAD KEEP CALM,16327.35,8807,913,405,1.853905983876462,0.07973649373059767
22662,LUNCH BAG DOLLY GIRL DESIGN,16213.61,9951,994,426,1.6293447894683952,0.07918103134405496
48173C,DOORMAT BLACK FLOCK,16032.710000000001,2844,320,166,5.6373804500703235,0.07829758536440333
22296,HEART IVORY TRELLIS LARGE,16027.56,9719,833,428,1.6490955859656342,0.07827243474640881
22692,DOORMAT WELCOME TO OUR HOME,15965.95,2135,606,293,7.478196721311476,0.07797155521735223
21877,HOME SWEET HOME MUG,15954.75,14054,755,323,1.1352461932545894,0.07791685872773312
22634,CHILDS BREAKFAST SET SPACEBOY,15946.55,1688,499,322,9.447008293838863,0.07787681308354769
