stockcode,description,revenue,sold_quantity,orders,customers,returned_quantity,return_value,return_rate,return_value_rate
15044C,PURPLE PAPER PARASOL,2428.5,862,160,100,5.0,13.950000000000001,0.580046403712297,0.5744286596664607
15044D,RED PAPER PARASOL,4252.84,1544,188,105,9.0,26.150000000000002,0.582901554404145,0.6148832309703633
15056BL,EDWARDIAN PARASOL BLACK,45885.07,9351,788,321,213.0,1071.3500000000001,2.277831247994867,2.334855324400726
15056N,EDWARDIAN PARASOL NATURAL,54332.61,10948,863,347,155.0,840.55,1.4157837047862623,1.5470451355088592
15056P,EDWARDIAN PARASOL PINK,11872.810000000001,2436,321,186,313.0,1091.0500000000002,12.848932676518885,9.189484208034997
15058A,BLUE POLKADOT GARDEN PARASOL,1104.6,148,51,40,17.0,120.75000000000001,11.486486486486488,10.931558935361219
15058A,BLUE WHITE SPOTS GARDEN PARASOL,1394.45,271,55,41,17.0,120.75000000000001,6.273062730627306,8.659328050485856
15058B,PINK POLKADOT GARDEN PARASOL,913.95,121,44,35,9.0,69.15,7.43801652892562,7.566059412440505
15058B,PINK WHITE SPOTS GARDEN PARASOL,1007.0,180,47,36,9.0,69.15,5.0,6.866931479642504
15058C,ICE CREAM DESIGN GARDEN PARASOL,1963.35,413,71,56,4.0,23.8,0.9685230024213075,1.2122138182188607
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1515.0,505,1,1,0.0,0.0,0.0,0.0
15060B,FAIRY CAKE DESIGN UMBRELLA,4138.17,1137,274,174,10.0,42.22,0.8795074758135445,1.02025774678179
16008,SMALL FOLDING SCISSOR(POINTED EDGE),422.96,3141,85,64,0.0,0.0,0.0,0.0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.84,32,4,4,0.0,0.0,0.0,0.0
16011,ANIMAL STICKERS,799.3199999999999,3812,112,83,24.0,5.04,0.6295907660020986,0.6305359555622279
16012,FOOD/DRINK SPONGE STICKERS,444.78,2118,62,53,0.0,0.0,0.0,0.0
16012,FOOD/DRINK SPUNGE STICKERS,158.19,759,20,18,0.0,0.0,0.0,0.0
16014,SMALL CHINESE STYLE SCISSOR,9512.68,29354,92,46,0.0,0.0,0.0,0.0
16015,MEDIUM CHINESE STYLE SCISSOR,711.38,1572,65,40,0.0,0.0,0.0,0.0
16016,LARGE CHINESE STYLE SCISSOR,1864.75,2307,105,57,0.0,0.0,0.0,0.0
16020C,CLEAR STATIONERY BOX SET,69.69999999999999,82,24,22,0.0,0.0,0.0,0.0
16033,MINI HIGHLIGHTER PENS,1530.12,15001,49,43,480.0,57.6,3.1997866808879407,3.764410634460043
16043,POP ART PUSH DOWN RUBBER,179.04000000000002,2142,12,11,984.0,67.68,45.938375350140056,37.801608579088466
16044,POP-ART FLUORESCENT PENS,388.8,6192,2,2,0.0,0.0,0.0,0.0
16045,POPART WOODEN PENCILS ASST,428.0,9300,72,65,0.0,0.0,0.0,0.0
16046,TEATIME PEN CASE & PENS,1043.53,9949,45,44,4632.0,389.03999999999996,46.55744295909137,37.2811514762393
16047,POP ART PEN CASE & PENS,1015.59,10587,23,21,5184.0,414.72,48.965712666477756,40.83537648066641
16048,TEATIME ROUND PENCIL SHARPENER,498.66,3413,69,59,0.0,0.0,0.0,0.0
16049,TEATIME GEL PENS ASST,542.88,3144,25,22,0.0,0.0,0.0,0.0
16050,TEATIME PENCIL WITH RUBBER,30.5,122,4,4,0.0,0.0,0.0,0.0
16051,TEATIME PENCIL W STAMP ASST,82.2,938,3,3,0.0,0.0,0.0,0.0
16052,TEATIME PUSH DOWN RUBBER,249.35,810,21,18,24.0,10.08,2.9629629629629632,4.0425105273711655
16053,POPART COL BALLPOINT PEN ASST,182.58,4298,8,8,2000.0,60.0,46.53327128897162,32.86230693394676
16054,POPART RECT PENCIL SHARPENER ASST,156.9,1205,37,32,108.0,12.96,8.962655601659751,8.260038240917781
16119,FUNKY GIRL ADDRESS BOOK,128.21,271,7,7,0.0,0.0,0.0,0.0
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,11.25,3,2,2,0.0,0.0,0.0,0.0
16151A,FLOWERS HANDBAG blue and orange,61.25,49,3,3,0.0,0.0,0.0,0.0
16156L,WRAP CAROUSEL,157.5,375,14,13,0.0,0.0,0.0,0.0
16156L,"WRAP, CAROUSEL",241.5,575,22,20,0.0,0.0,0.0,0.0
16156N,"WRAP, FRIENDSHIP ON GREEN",609.0,1450,55,51,0.0,0.0,0.0,0.0
16156S,WRAP PINK FAIRY CAKES,6527.12,16586,417,271,146.0,61.32,0.8802604606294464,0.9394648788439618
16161C,WRAP SPEED DEMONS,45.0,450,2,2,0.0,0.0,0.0,0.0
16161E,WRAP BOUDOIR,75.0,750,9,8,0.0,0.0,0.0,0.0
16161G,WRAP BAD HAIR DAY,97.5,975,33,31,0.0,0.0,0.0,0.0
16161M,WRAP  PINK FLOCK,439.0,1050,39,36,25.0,10.5,2.380952380952381,2.3917995444191344
16161P,WRAP ENGLISH ROSE,5435.4,13198,440,289,25.0,10.5,0.18942263979390817,0.1931780549729551
16161U,WRAP SUKI AND FRIENDS,2721.92,6676,208,148,75.0,31.5,1.1234272019173157,1.1572713378791442
16161U,"WRAP,SUKI AND FRIENDS",1352.5,3325,109,86,75.0,31.5,2.2556390977443606,2.32902033271719
16162L,THE KING GIFT BAG,553.79,8083,17,16,3744.0,187.2,46.31943585302486,33.803427291933765
16162M,THE KING GIFT BAG 25x24x12cm,36.12,86,12,10,0.0,0.0,0.0,0.0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,425.16,1578,53,42,0.0,0.0,0.0,0.0
16168S,FUNKY MONKEY GIFT BAG SMALL,121.86,1274,7,4,0.0,0.0,0.0,0.0
16169A,WRAP CHRISTMAS DECOUPAGE,10.5,25,1,1,0.0,0.0,0.0,0.0
16169C,WRAP BLUE REINDEER,567.0,1350,43,42,0.0,0.0,0.0,0.0
16169D,WRAP WINTER FOREST,105.0,250,9,9,0.0,0.0,0.0,0.0
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,149,143,125.0,52.5,2.739425816348893,2.7741669572936813
16169F,WRAP BLIZZARD,409.5,975,34,34,0.0,0.0,0.0,0.0
16169G,WRAP ROMANTIC DECOUPAGE,10.5,25,1,1,0.0,0.0,0.0,0.0
16169K,WRAP FOLK ART,648.25,2050,59,56,0.0,0.0,0.0,0.0
16169M,WRAP DAISY CARPET,640.95,2060,59,56,0.0,0.0,0.0,0.0
16169N,WRAP BLUE RUSSIAN FOLKART,626.25,2025,56,52,0.0,0.0,0.0,0.0
16169P,WRAP GREEN RUSSIAN FOLKART,533.75,1750,48,46,25.0,10.5,1.4285714285714286,1.9672131147540985
16201A,PASTEL PINK PHOTO ALBUM,199.8,100,8,7,2.0,3.9,2.0,1.9519519519519517
16201B,PASTEL BLUE PHOTO ALBUM,46.8,24,2,2,0.0,0.0,0.0,0.0
16202A,PASTEL PINK PHOTO ALBUM,266.45,660,19,16,324.0,97.80000000000001,49.09090909090909,36.704822668418096
16202B,PASTEL BLUE PHOTO ALBUM,469.21,1034,18,13,472.0,144.48000000000002,45.64796905222437,30.792182604803823
16202C,BEIGE PHOTO ALBUM,201.29999999999998,94,10,10,0.0,0.0,0.0,0.0
16202E,BLACK PHOTO ALBUM,150.6,81,13,12,1.0,5.55,1.2345679012345678,3.6852589641434266
16206B,RED PURSE WITH PINK HEART,116.4,96,16,14,0.0,0.0,0.0,0.0
16207A,PINK STRAWBERRY HANDBAG,162.25000000000003,55,19,17,0.0,0.0,0.0,0.0
16207B,PINK HEART RED HANDBAG,315.96000000000004,211,13,12,0.0,0.0,0.0,0.0
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,232.04999999999998,357,30,29,0.0,0.0,0.0,0.0
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,5.2,8,3,3,0.0,0.0,0.0,0.0
16216,LETTER SHAPE PENCIL SHARPENER,358.18,4135,78,69,110.0,17.6,2.6602176541717046,4.913730526550896
16218,CARTOON  PENCIL SHARPENERS,375.6,4525,70,60,0.0,0.0,0.0,0.0
16219,HOUSE SHAPE PENCIL SHARPENER,371.01,3206,66,58,48.0,2.88,1.4971927635683093,0.7762594000161721
16225,RATTLE SNAKE EGGS,1078.64,1420,112,90,0.0,0.0,0.0,0.0
16235,RECYCLED PENCIL WITH RABBIT ERASER,1031.58,5088,160,124,133.0,27.93,2.613993710691824,2.7074972372477175
16236,KITTY PENCIL ERASERS,503.65,2425,143,108,28.0,5.88,1.1546391752577319,1.1674774148714384
16237,SLEEPING CAT ERASERS,1959.3,9730,340,209,91.0,19.11,0.935251798561151,0.9753483386923901
16238,PARTY TIME PENCIL ERASERS,469.42,2232,135,104,0.0,0.0,0.0,0.0
16239,BALLERINA HEART DECORATION.,468.4,338,13,13,0.0,0.0,0.0,0.0
16243B,BROWN COZY SQUARE PHOTO ALBUM,399.75,205,1,1,0.0,0.0,0.0,0.0
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,293.0,142,6,6,0.0,0.0,0.0,0.0
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,612.85,309,8,8,0.0,0.0,0.0,0.0
16245A,PINK MINI STATIONERY SET W CASE,13.75,11,7,7,0.0,0.0,0.0,0.0
16248B,BLUE HOLE PUNCH,101.25,81,12,12,0.0,0.0,0.0,0.0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,258.36,912,19,17,0.0,0.0,0.0,0.0
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,207.06,493,20,17,0.0,0.0,0.0,0.0
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,70.98,169,10,8,14.0,5.88,8.284023668639055,8.284023668639053
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,347.19,1026,74,58,1.0,0.42,0.09746588693957114,0.12097122612978484
16258B,DAISY ERASERS IN BAG,219.34,1014,13,13,0.0,0.0,0.0,0.0
16259,PIECE OF CAMO STATIONERY SET,766.09,5473,55,46,134.0,14.100000000000001,2.4483829709482916,1.8405148220183007
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,299.34999999999997,1211,23,20,6.0,1.7399999999999998,0.495458298926507,0.581259395356606
17003,BROCADE RING PURSE,14640.96,70082,387,215,740.0,215.78,1.0559059387574554,1.4738104605162503
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,71.4,34,6,6,0.0,0.0,0.0,0.0
17011A,ORIGAMI VANILLA INCENSE+FLOWER,150.0,254,6,6,0.0,0.0,0.0,0.0
17011B,ORIGAMI JASMINE INCENSE+FLOWER,11.100000000000001,19,2,2,0.0,0.0,0.0,0.0
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,217.1,334,1,1,0.0,0.0,0.0,0.0
17011D,ORIGAMI ROSE INCENSE+FLOWER,129.3,207,2,2,0.0,0.0,0.0,0.0
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,80.60000000000001,124,1,1,0.0,0.0,0.0,0.0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,315.15,380,15,15,0.0,0.0,0.0,0.0
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,586.6,644,34,30,0.0,0.0,0.0,0.0
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,590.8499999999999,617,48,43,0.0,0.0,0.0,0.0
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,747.25,777,56,47,0.0,0.0,0.0,0.0
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,426.7,426,51,41,0.0,0.0,0.0,0.0
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,236.39999999999998,240,12,12,0.0,0.0,0.0,0.0
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,451.45,493,47,38,0.0,0.0,0.0,0.0
17013B,ORIGAMI JASMINE INCENSE IN TUBE,217.6,255,2,2,0.0,0.0,0.0,0.0
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,89.46000000000001,213,2,2,96.0,40.32,45.07042253521127,45.070422535211264
17013D,ORIGAMI ROSE INCENSE IN TUBE,515.46,1048,21,17,1.0,1.57,0.09541984732824427,0.30458231482559267
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,25.05,61,4,4,0.0,0.0,0.0,0.0
17014A,ORIGAMI VANILLA INCENSE CONES,111.81,247,9,9,0.0,0.0,0.0,0.0
17014C,ORIGAMI LAVENDER INCENSE CONES,40.32,96,1,1,0.0,0.0,0.0,0.0
17014D,ORIGAMI ROSE INCENSE CONES,194.28,476,5,5,0.0,0.0,0.0,0.0
17014E,ORIGAMI OPIUM INCENSE CONES,33.3,93,4,4,0.0,0.0,0.0,0.0
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,23.699999999999996,61,4,4,0.0,0.0,0.0,0.0
17021,NAMASTE SWAGAT INCENSE,982.44,3714,75,45,78.0,23.400000000000002,2.10016155088853,2.381824844265299
17027A,INCENSE BAZAAR CANNABIS,84.84,228,2,1,0.0,0.0,0.0,0.0
17028J,INCENSE BAZAAR PEACH,2.52,6,1,1,0.0,0.0,0.0,0.0
17033,"BROCADE PURSE,SMALL ARCH BUTTON",867.55,3279,68,58,36.0,10.44,1.0978956999085088,1.2033888536683766
17038,PORCELAIN BUDAH INCENSE HOLDER,225.4,2524,30,21,0.0,0.0,0.0,0.0
17039,INLAID WOOD INCENSE HOLDER,813.0899999999999,3641,30,20,0.0,0.0,0.0,0.0
17061,ASSORTED SHAPED STENCIL FOR HENNA,2.08,52,1,1,0.0,0.0,0.0,0.0
17084A,TRANQUILITY MASALA INCENSE,92.82,442,18,14,0.0,0.0,0.0,0.0
17084G,MOON INCENSE,10.5,50,2,2,0.0,0.0,0.0,0.0
17084J,LOVE POTION MASALA INCENSE,95.34,454,19,17,0.0,0.0,0.0,0.0
17084N,FAIRY DREAMS INCENSE,485.86,2391,67,42,0.0,0.0,0.0,0.0
17084P,DRAGONS BLOOD INCENSE,173.54,874,26,23,0.0,0.0,0.0,0.0
17084R,ASSORTED INCENSE PACK,1968.45,10625,66,29,0.0,0.0,0.0,0.0
17090A,LAVENDER INCENSE 40 CONES IN TIN,182.65,173,26,24,0.0,0.0,0.0,0.0
17090D,VANILLA INCENSE 40 CONES IN TIN,105.2,88,28,21,0.0,0.0,0.0,0.0
17091A,LAVENDER INCENSE IN TIN,1255.65,2073,110,78,0.0,0.0,0.0,0.0
17091B,JASMINE TEA INCENSE IN TIN,286.8,264,43,35,0.0,0.0,0.0,0.0
17091F,SANDALWOOD INCENSE IN TIN,20.0,16,6,6,0.0,0.0,0.0,0.0
17091J,VANILLA INCENSE IN TIN,2122.19,3931,161,108,0.0,0.0,0.0,0.0
17096,ASSORTED LAQUERED INCENSE HOLDERS,1081.65,6157,35,25,0.0,0.0,0.0,0.0
17107D,FLOWER FAIRY 5 DRAWER LINERS,150.45,59,20,18,2.0,5.1,3.389830508474576,3.389830508474576
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,15.3,6,1,1,2.0,5.1,33.33333333333333,33.33333333333333
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",614.55,241,61,52,2.0,5.1,0.8298755186721992,0.8298755186721992
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,149.1,355,23,17,0.0,0.0,0.0,0.0
17109A,FLOWER FAIRY INCENSE LILY,333.61,709,13,12,0.0,0.0,0.0,0.0
17109B,FLOWER FAIRY INCENSE LAVENDER,892.91,4541,16,13,0.0,0.0,0.0,0.0
17109C,FLOWER FAIRY INCENSE ROSE,661.23,3124,15,13,1.0,1.69,0.03201024327784891,0.255584289884004
17109D,FLOWER FAIRY INCENSE BOUQUET,584.87,1253,36,33,1.0,1.69,0.07980845969672785,0.288953100689042
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,56.28,84,10,7,0.0,0.0,0.0,0.0
17129D,CLEAR COLOUR GLASS GEMS IN BAG,344.53999999999996,518,19,12,0.0,0.0,0.0,0.0
17129F,BLUE GLASS GEMS IN BAG,418.38,624,25,14,8.0,11.66,1.282051282051282,2.7869401022993454
17129F,DEEP BLUE GLASS GEMS IN BAG,208.12,316,16,8,8.0,11.66,2.5316455696202533,5.602536997885835
17136A,BLUE STONES ON WIRE FOR CANDLE,61.78,743,34,28,0.0,0.0,0.0,0.0
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,633.24,1584,80,64,2.0,0.84,0.12626262626262627,0.13265112753458402
17164D,ASS COL SMALL SAND FROG P'WEIGHT,444.48,1144,27,26,0.0,0.0,0.0,0.0
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,750.63,809,56,43,4.0,4.2,0.4944375772558714,0.5595299948043644
17165D,ASS COL LARGE SAND FROG P'WEIGHT,682.32,716,89,62,6.0,6.300000000000001,0.8379888268156425,0.9233204361589871
17174,ASSTD RASTA KEY-CHAINS,15.120000000000001,36,7,7,0.0,0.0,0.0,0.0
17178,FLAT PALM T-LIGHT HOLDER,156.65,133,24,20,0.0,0.0,0.0,0.0
17181,CIRCLE OF FRIENDS CANDLE HOLDER,341.7,294,28,26,0.0,0.0,0.0,0.0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,123.75,33,12,9,0.0,0.0,0.0,0.0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,1017.18,11335,51,40,2400.0,120.0,21.1733568592854,11.797322007904206
18010,ASSORTED FRAGRANCE BATH CONFETTI,23.52,56,6,6,0.0,0.0,0.0,0.0
18094C,WHITE AND BLUE CERAMIC OIL BURNER,351.6,312,39,21,1.0,1.25,0.3205128205128205,0.35551763367463024
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,25.0,20,4,3,1.0,1.25,5.0,5.0
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,241.5,106,13,12,12.0,30.6,11.320754716981133,12.670807453416149
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,43.349999999999994,17,12,10,0.0,0.0,0.0,0.0
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,17.849999999999998,7,3,3,0.0,0.0,0.0,0.0
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,3293.7,1534,159,110,292.0,571.8000000000001,19.035202086049544,17.36041533837326
18098A,PINK PORCELAIN B'FLY OIL BURNER,5.9,2,2,2,0.0,0.0,0.0,0.0
18098B,BLUE PORCELAIN B'FLY OIL BURNER,8.850000000000001,3,3,3,0.0,0.0,0.0,0.0
18098C,PORCELAIN BUTTERFLY OIL BURNER,2832.8500000000004,1123,177,104,24.0,70.80000000000001,2.13713268032057,2.4992498720369944
20615,BLUE POLKADOT PASSPORT COVER,243.84,236,40,32,0.0,0.0,0.0,0.0
20615,BLUE SPOTTY PASSPORT COVER,341.2,222,38,32,0.0,0.0,0.0,0.0
20616,CHERRY BLOSSOM PASSPORT COVER,236.18,188,44,31,0.0,0.0,0.0,0.0
20617,FIRST CLASS PASSPORT COVER,863.88,452,74,59,0.0,0.0,0.0,0.0
20618,QUEEN OF THE SKIES PASSPORT COVER,400.38,193,74,50,0.0,0.0,0.0,0.0
20619,TROPICAL PASSPORT COVER,566.33,373,68,46,0.0,0.0,0.0,0.0
20620,RED SPOTTY PASSPORT COVER,2.1,1,1,1,0.0,0.0,0.0,0.0
20621,ECONOMY PASSPORT COVER,417.90000000000003,199,29,23,0.0,0.0,0.0,0.0
20622,VIP PASSPORT COVER,73.5,35,11,8,0.0,0.0,0.0,0.0
20622,VIPPASSPORT COVER,840.6800000000001,488,71,54,0.0,0.0,0.0,0.0
20652,BLUE POLKADOT LUGGAGE TAG,206.01,159,45,34,0.0,0.0,0.0,0.0
20652,BLUE SPOTTY LUGGAGE TAG,486.0,1056,44,40,0.0,0.0,0.0,0.0
20653,CHERRY BLOSSOM LUGGAGE TAG,428.89,1927,31,26,0.0,0.0,0.0,0.0
20654,FIRST CLASS LUGGAGE TAG,414.63,339,84,65,0.0,0.0,0.0,0.0
20655,QUEEN OF SKIES LUGGAGE TAG,321.02,264,91,55,0.0,0.0,0.0,0.0
20657,TROPICAL LUGGAGE TAG,534.14,1692,71,54,0.0,0.0,0.0,0.0
20658,RED RETROSPOT LUGGAGE TAG,571.25,457,98,72,36.0,45.0,7.87746170678337,7.87746170678337
20658,RED SPOTTY LUGGAGE TAG,1090.44,876,125,96,36.0,45.0,4.10958904109589,4.126774513040607
20659,ECONOMY LUGGAGE TAG,380.81,287,89,55,0.0,0.0,0.0,0.0
20660,VIP LUGGAGE TAG,88.75,71,26,22,0.0,0.0,0.0,0.0
20661,BLUE POLKADOT PURSE,218.82000000000002,354,12,9,354.0,210.3,100.0,96.10638881272277
20661,BLUE SPOTTY PURSE,443.3500000000001,433,30,29,354.0,210.3,81.75519630484989,47.43430698094056
20662,FIRST CLASS HOLIDAY PURSE,394.27000000000004,697,25,23,300.0,51.00000000000001,43.0416068866571,12.9352981459406
20663,QUEEN OF THE SKIES HOLIDAY PURSE,277.19,1037,15,13,503.0,93.85,48.5053037608486,33.85764277210577
20664,TROPICAL HOLIDAY PURSE,91.45000000000002,31,16,11,0.0,0.0,0.0,0.0
20665,RED RETROSPOT PURSE,1368.0500000000002,467,99,78,32.0,94.40000000000002,6.852248394004283,6.900332590183107
20665,RED SPOTTY PURSE,2051.9,698,123,100,32.0,94.40000000000002,4.584527220630372,4.600614065012915
20666,ECONOMY HOLIDAY PURSE,340.65000000000003,871,22,22,400.0,68.0,45.924225028702644,19.961837663290765
20667,CHERRY BLOSSOM PURSE,61.95,21,9,6,0.0,0.0,0.0,0.0
20668,DISCO BALL CHRISTMAS DECORATION,2292.04,20550,309,181,3.0,0.36,0.014598540145985403,0.0157065321722134
20669,RED HEART LUGGAGE TAG,781.47,627,132,103,0.0,0.0,0.0,0.0
20670,VIP HOLIDAY PURSE,296.48,664,22,20,312.0,86.4,46.98795180722892,29.14193200215866
20671,BLUE TEATIME PRINT BOWL,900.07,731,106,70,0.0,0.0,0.0,0.0
20672,PINK TEATIME PRINT BOWL,145.0,116,22,21,0.0,0.0,0.0,0.0
20673,STRAWBERRIES PRINT BOWL,6.25,5,2,2,0.0,0.0,0.0,0.0
20674,GREEN POLKADOT BOWL,1931.56,1599,184,118,15.0,18.560000000000002,0.9380863039399625,0.9608813601441323
20674,GREEN SPOTTY BOWL,1816.53,1497,176,119,15.0,18.560000000000002,1.002004008016032,1.0217282401061365
20675,BLUE POLKADOT BOWL,3649.9700000000003,3116,275,180,40.0,49.81,1.2836970474967908,1.3646687507020605
20675,BLUE SPOTTY BOWL,3197.16,2700,258,157,40.0,49.81,1.4814814814814816,1.5579451763440055
20676,RED RETROSPOT BOWL,5827.1900000000005,5020,375,227,137.0,156.81,2.7290836653386457,2.6910054417309195
20676,RED SPOTTY BOWL,5145.87,4383,345,212,137.0,156.81,3.125712981975816,3.0472981245153883
20677,PINK POLKADOT BOWL,4147.58,3563,279,163,14.0,17.310000000000002,0.3929273084479371,0.4173518051490267
20677,PINK SPOTTY BOWL,3882.65,3325,266,161,14.0,17.310000000000002,0.42105263157894735,0.44582952365008444
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1,1,0.0,0.0,0.0,0.0
20679,EDWARDIAN PARASOL RED,28557.920000000002,6029,622,271,18.0,107.10000000000002,0.2985569746226571,0.3750273129135456
20680,PINK FLOWERS CHILDS UMBRELLA,19.5,6,4,4,0.0,0.0,0.0,0.0
20681,PINK POLKADOT CHILDRENS UMBRELLA,1144.5,354,99,82,31.0,99.75,8.757062146892656,8.715596330275229
20681,PINK SPOTTY CHILDS UMBRELLA,2991.25,949,175,127,31.0,99.75,3.2665964172813484,3.3347262849979105
20682,RED RETROSPOT CHILDRENS UMBRELLA,4670.16,1462,265,190,57.0,178.75,3.8987688098495212,3.8274919917090635
20682,RED SPOTTY CHILDS UMBRELLA,4464.5,1430,213,153,57.0,178.75,3.986013986013986,4.003807817224773
20683,RAIN GIRL CHILDS UMBRELLA,3.25,1,1,1,0.0,0.0,0.0,0.0
20684,STRAWBERRY DREAM CHILDS UMBRELLA,1781.0,560,157,117,12.0,36.5,2.142857142857143,2.0494104435710274
20685,DOOR MAT RED SPOT,15093.48,2426,369,245,91.0,632.53,3.751030502885408,4.190749913207557
20685,DOORMAT RED RETROSPOT,31864.2,4806,758,416,91.0,632.53,1.893466500208073,1.9850804350964404
20685,DOORMAT RED SPOT,7050.21,1035,187,159,91.0,632.53,8.792270531400966,8.97178949279525
20685,RED SPOTTY COIR DOORMAT,6538.75,1097,164,132,91.0,632.53,8.295350957155879,9.6735614605238
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,1817.63,561,160,117,8.0,25.0,1.4260249554367201,1.375417439192795
20688,BEAUTY SPEED EXPRESSO CUPS,306.9,462,9,9,0.0,0.0,0.0,0.0
20689,RETRO SISTERS EXPRESSO CUPS,436.00000000000006,400,27,25,12.0,23.4,3.0,5.366972477064219
20692,FLORAL ELEPHANT SOFT TOY,3434.25,879,116,75,2.0,8.5,0.22753128555176336,0.24750673363907694
20693,FLORAL DINOSAUR GREEN,110.5,26,12,10,1.0,4.25,3.8461538461538463,3.8461538461538463
20694,FLORAL PINK MONSTER,408.48,112,25,23,4.0,15.0,3.571428571428571,3.672150411280846
20695,FLORAL BLUE MONSTER,332.0,82,26,24,4.0,17.0,4.878048780487805,5.120481927710843
20696,FLORAL SOFT CAR TOY,461.25,123,34,28,0.0,0.0,0.0,0.0
